Province/State,Country/Region,Lat,Long,Date,Deaths
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0
New South Wales,Australia,-33.8688,151.2093,2020-01-22,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0
Queensland,Australia,-27.4698,153.0251,2020-01-22,0
South Australia,Australia,-34.9285,138.6007,2020-01-22,0
Tasmania,Australia,-42.8821,147.3272,2020-01-22,0
Victoria,Australia,-37.8136,144.9631,2020-01-22,0
Western Australia,Australia,-31.9505,115.8605,2020-01-22,0
Alberta,Canada,53.9333,-116.5765,2020-01-22,0
British Columbia,Canada,53.7267,-127.6476,2020-01-22,0
Diamond Princess,Canada,0.0,0.0,2020-01-22,0
Grand Princess,Canada,0.0,0.0,2020-01-22,0
Manitoba,Canada,53.7609,-98.8139,2020-01-22,0
New Brunswick,Canada,46.5653,-66.4619,2020-01-22,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-22,0
Northwest Territories,Canada,64.8255,-124.8457,2020-01-22,0
Nova Scotia,Canada,44.682,-63.7443,2020-01-22,0
Nunavut,Canada,70.2998,-83.1076,2020-01-22,0
Ontario,Canada,51.2538,-85.3232,2020-01-22,0
Prince Edward Island,Canada,46.5107,-63.4168,2020-01-22,0
Quebec,Canada,52.9399,-73.5491,2020-01-22,0
Saskatchewan,Canada,52.9399,-106.4509,2020-01-22,0
Yukon,Canada,64.2823,-135.0,2020-01-22,0
Anhui,China,31.8257,117.2264,2020-01-22,0
Beijing,China,40.1824,116.4142,2020-01-22,0
Chongqing,China,30.0572,107.874,2020-01-22,0
Fujian,China,26.0789,117.9874,2020-01-22,0
Gansu,China,35.7518,104.2861,2020-01-22,0
Guangdong,China,23.3417,113.4244,2020-01-22,0
Guangxi,China,23.8298,108.7881,2020-01-22,0
Guizhou,China,26.8154,106.8748,2020-01-22,0
Hainan,China,19.1959,109.7453,2020-01-22,0
Hebei,China,39.549,116.1306,2020-01-22,0
Heilongjiang,China,47.862,127.7615,2020-01-22,0
Henan,China,37.8957,114.9042,2020-01-22,0
Hong Kong,China,22.3,114.2,2020-01-22,0
Hubei,China,30.9756,112.2707,2020-01-22,17
Hunan,China,27.6104,111.7088,2020-01-22,0
Inner Mongolia,China,44.0935,113.9448,2020-01-22,0
Jiangsu,China,32.9711,119.455,2020-01-22,0
Jiangxi,China,27.614,115.7221,2020-01-22,0
Jilin,China,43.6661,126.1923,2020-01-22,0
Liaoning,China,41.2956,122.6085,2020-01-22,0
Macau,China,22.1667,113.55,2020-01-22,0
Ningxia,China,37.2692,106.1655,2020-01-22,0
Qinghai,China,35.7452,95.9956,2020-01-22,0
