Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Year,CO2_Emissions_Per_Capita
Aruba,ABW,3.432681802,3.631620897,3.411820588,3.680649526,3.937096673,2.488526999,3.970985272,3.967168263,3.965023032,2.965072637,2.969192576,3.22132198,3.671291126,3.667304337,3.941209607,4.262361048,4.568147778,4.498746495,4.849218535,4.734971229,2.828708171,3.600998943,3.901585048,4.126134055,4.281504272,4.459793795,4.291166598,4.27792265,5.108834006,4.168086419,4.648096565,4.684558755,4.936707682,1990,3.201440569
Africa Eastern and Southern,AFE,1.174578007,1.123987955,1.093278599,1.088835819,1.11724841,1.128709727,1.145021672,1.136120713,1.073663127,1.062240409,1.064005253,1.069149856,1.096139047,1.150298733,1.15243439,1.142417212,1.16052182,1.192123437,1.108091443,1.107587414,1.067058723,1.073628687,1.086449162,1.096416272,1.043372669,1.026116204,1.012872687,0.997156909,0.983491717,0.845417186,0.863532874,0.816361437,0.784640732,1990,1.232868988
Afghanistan,AFG,0.232619344,0.137051251,0.119439166,0.103699548,0.085726829,0.079782626,0.075037566,0.074133627,0.069163057,0.05047608,0.046572949,0.044077783,0.044340731,0.037897929,0.051887829,0.055392338,0.07756123,0.144751528,0.221465726,0.275380975,0.388742453,0.319626608,0.262469648,0.238642815,0.246706025,0.216929892,0.226011227,0.215877625,0.191490829,0.180555013,0.198267958,0.20355189,0.210043425,1990,0.242593598
Africa Western and Central,AFW,0.501841936,0.528290038,0.506310369,0.477636486,0.507183274,0.571195525,0.553488161,0.518728097,0.511601787,0.533661233,0.551083899,0.502950754,0.528566211,0.510387031,0.500513165,0.464381052,0.437051092,0.451267465,0.417316125,0.456851165,0.473954567,0.470348079,0.504400161,0.513469247,0.499586915,0.506323433,0.495060473,0.509712919,0.518890459,0.49715916,0.512748783,0.505462163,0.482217276,1990,0.490402474
Angola,AGO,0.979787216,0.975473353,0.946555875,0.867215446,0.945511672,1.106402503,1.118802042,1.123819789,1.150898675,1.019576015,0.966865641,0.918494718,0.965775643,0.951069769,0.810676973,0.815387085,0.820836438,0.88603298,0.940848252,0.976178185,0.976532177,0.981682219,1.090522602,1.137202706,1.175429272,1.072053077,0.924168969,0.839018754,0.851665228,0.619138988,0.73156742,0.767587421,0.768162509,1990,0.965968712
Albania,ALB,1.34061265,0.72773995,0.688720898,0.730810192,0.649353909,0.64863592,0.502019991,0.61201267,0.992866007,1.046446017,1.123890708,1.313138928,1.385438161,1.458238835,1.377558661,1.381665852,1.429082729,1.423194135,1.460144238,1.564321026,1.716993179,1.562852861,1.647374246,1.763799434,1.688303168,1.575153307,1.858910713,1.850978378,1.73551805,1.607132726,1.792282583,1.659293031,1.672194764,1990,2.021881966
Arab World,ARB,3.072479722,3.192236679,3.321922722,3.433509575,3.448098606,3.453320596,3.531726351,3.491071953,3.464533454,3.506669346,3.628226463,3.662570903,3.683577756,3.799737436,3.97372625,4.074203344,4.133140011,4.327413953,4.371369733,4.542205018,4.5598675,4.770973998,4.749155878,4.800313015,4.796052633,4.743015013,4.71887557,4.600947837,4.572471903,4.27290949,4.400698103,4.403588402,4.384960472,1990,3.054163809
United Arab Emirates,ARE,32.2542417,29.56519272,29.66306991,31.16951896,31.79188733,31.1410229,29.92166564,28.44280447,27.29704664,25.31988007,27.19399827,26.16197932,25.95604439,25.96987063,26.25239293,25.39330419,24.3827555,26.0607102,24.65118089,25.03024089,24.95088351,25.03175291,25.3376205,24.55546539,24.293209,23.75125278,22.14604978,20.0129971,20.92386181,20.794608,21.02578633,20.5359774,19.64862576,1990,29.96891825
Argentina,ARG,3.177606554,3.190850278,3.258139023,3.313254361,3.315321748,3.563984281,3.642126438,3.794254837,3.803231674,3.675005611,3.490969061,3.262085817,3.51976128,3.857510409,3.918724707,4.104215537,4.327089125,4.435786748,4.036599735,4.296677439,4.430183946,4.479556231,4.538012193,4.418040775,4.513930258,4.422979854,4.321155547,4.251246258,4.075445377,3.76439263,4.20773344,4.26096743,4.035679689,1990,3.058612248
Armenia,ARM,5.976269356,3.073075912,1.481265051,0.8346584,1.070631377,0.791189285,1.028374245,1.082346004,0.980082001,1.108192853,1.131234822,0.969216826,1.090557738,1.187715252,1.418287567,1.421604682,1.658621355,1.829613553,1.468297456,1.411849711,1.619505268,1.874673457,1.817471873,1.911307983,1.869333688,1.796043177,1.909310599,2.004344897,2.168472574,2.334560189,2.534922189,2.454971036,2.582868033,1990,5.850042566
